"April";56;4;1.0000
"April";56;5;0.2321
"April";56;6;0.1429
"April";56;7;0.1250
"April";56;8;0.1429
"April";56;9;0.1429
"April";56;10;0.0714
"April";56;11;0.0714
"April";56;12;0.1071
"August";37;8;1.0000
"August";37;9;0.1351
"August";37;10;0.1351
"August";37;12;0.1081
"December";25;12;1.0000
"February";70;2;1.0000
"February";70;3;0.2000
"February";70;4;0.1429
"February";70;5;0.1714
"February";70;6;0.1286
"February";70;7;0.1571
"February";70;8;0.1857
"February";70;9;0.2286
"February";70;10;0.1429
"February";70;11;0.1000
"February";70;12;0.1571
"January";107;1;1.0000
"January";107;2;0.1682
"January";107;3;0.1028
"January";107;4;0.1495
"January";107;5;0.1495
"January";107;6;0.1215
"January";107;7;0.1776
"January";107;8;0.1589
"January";107;9;0.1402
"January";107;10;0.0841
"January";107;11;0.1776
"January";107;12;0.0935
"July";37;7;1.0000
"July";37;8;0.1622
"July";37;9;0.1081
"July";37;10;0.1622
"July";37;11;0.2703
"July";37;12;0.1892
"June";42;6;1.0000
"June";42;7;0.1190
"June";42;8;0.0714
"June";42;9;0.0952
"June";42;10;0.0952
"June";42;11;0.0714
"June";42;12;0.1190
"March";85;3;1.0000
"March";85;4;0.1882
"March";85;5;0.0941
"March";85;6;0.0706
"March";85;7;0.1059
"March";85;8;0.2118
"March";85;9;0.1294
"March";85;10;0.1647
"March";85;11;0.1529
"March";85;12;0.1412
"May";48;5;1.0000
"May";48;6;0.1667
"May";48;7;0.2500
"May";48;8;0.2083
"May";48;9;0.1250
"May";48;10;0.1250
"May";48;11;0.1250
"May";48;12;0.1667
"November";18;11;1.0000
"October";22;10;1.0000
"October";22;12;0.0909
"September";38;9;1.0000
"September";38;10;0.1579
"September";38;11;0.0789
"September";38;12;0.1316
